name,type,from_bus,to_bus,p_mw,q_mvar,rating,rating_unit,loading_percent
L 0-1,line,0,1,-173.7,-40.3073,1.0041,kA,28.5931
L 0-38,line,0,38,76.1,-3.8927,1.6735,kA,10.352
L 1-2,line,1,2,319.9146,88.5866,0.8367,kA,64.8428
L 1-24,line,1,24,-244.5923,82.9736,0.8367,kA,50.304
L 2-3,line,2,3,37.3396,113.0645,0.8367,kA,27.416
L 2-17,line,2,17,-40.7601,-14.5856,0.8367,kA,8.4003
L 3-4,line,3,4,-197.4495,-4.0899,1.0041,kA,32.7716
L 3-13,line,3,13,-265.4186,-47.3199,0.8367,kA,53.6813
L 4-5,line,4,5,-536.9366,-43.1124,2.0082,kA,44.6207
L 4-7,line,4,7,339.1779,47.6364,1.5061,kA,38.0622
L 5-6,line,5,6,453.8156,81.5487,1.5061,kA,51.0262
L 5-10,line,5,10,-322.6541,-38.8547,0.8033,kA,67.1529
L 6-7,line,6,7,218.755,-10.4051,1.5061,kA,24.3727
L 7-8,line,7,8,34.8073,-132.0579,1.5061,kA,15.2066
L 8-38,line,8,38,27.9838,-31.119,1.5061,kA,10.8673
L 9-10,line,9,10,327.9013,73.3744,1.0041,kA,55.2946
L 9-12,line,9,12,322.0987,37.4919,1.0041,kA,53.2469
L 12-13,line,12,13,317.1835,-6.0327,1.0041,kA,52.0961
L 13-14,line,13,14,50.3143,-40.6775,1.0041,kA,10.6522
L 14-15,line,14,15,-269.7386,-156.6645,1.0041,kA,51.1609
L 15-16,line,15,16,224.0171,-42.5399,1.0041,kA,36.8064
L 15-18,line,15,18,-451.2985,-54.2032,1.0041,kA,73.3709
L 15-20,line,15,20,-329.6017,14.44,1.0041,kA,53.5341
L 15-23,line,15,23,-42.6801,-97.33,1.0041,kA,17.1549
L 16-17,line,16,17,199.0388,11.0524,1.0041,kA,32.3128
L 16-26,line,16,26,24.6405,-43.5555,1.0041,kA,8.0643
L 20-21,line,20,21,-604.4228,-87.2573,1.5061,kA,65.73
L 21-22,line,21,22,42.7941,41.8843,1.0041,kA,11.9784
L 22-23,line,22,23,353.839,-0.5006,1.0041,kA,56.4259
L 22-35,line,22,35,-558.5696,-22.3495,1.5061,kA,59.43
L 24-25,line,24,25,65.4139,-18.8109,1.0041,kA,12.0448
L 25-26,line,25,26,257.2957,68.2052,1.0041,kA,43.3404
L 25-27,line,25,27,-140.8192,-21.2096,1.0041,kA,24.1835
L 25-28,line,25,28,-190.1884,-24.9606,1.0041,kA,32.3318
L 27-28,line,27,28,-347.6077,28.7568,1.0041,kA,55.7691
T 1-29,trafo,1,29,-250.0,-147.2022,900.0,MVA,31.513
T 5-30,trafo,5,30,-668.6711,-88.8539,1800.0,MVA,39.771
T 9-31,trafo,9,31,-650.0,-110.8663,900.0,MVA,77.0195
T 11-10,trafo,11,10,-4.0562,-42.2501,500.0,MVA,8.5328
T 11-12,trafo,11,12,-4.4738,-45.7499,500.0,MVA,9.2413
T 18-19,trafo,18,19,174.7289,-9.1736,900.0,MVA,19.6242
T 18-32,trafo,18,32,-629.1058,-49.581,900.0,MVA,71.4457
T 19-33,trafo,19,33,-505.4895,-116.4783,900.0,MVA,58.6836
T 21-34,trafo,21,34,-650.0,-150.0356,900.0,MVA,72.3466
T 24-36,trafo,24,36,-538.3428,65.4483,900.0,MVA,58.3943
T 28-37,trafo,28,37,-824.7661,80.3284,1200.0,MVA,67.4042
