bus,type,vn_kv,vm_pu,va_degree,gen_mw,load_mw,load_mvar
0,load,345.0,1.0394,-13.5366,0.0,97.6,44.2
1,load,345.0,1.0485,-9.7853,0.0,0.0,0.0
2,load,345.0,1.0307,-12.2764,0.0,322.0,2.4
3,load,345.0,1.0045,-12.6267,0.0,500.0,184.0
4,load,345.0,1.006,-11.1923,0.0,0.0,0.0
5,load,345.0,1.0082,-10.4083,0.0,0.0,0.0
6,load,345.0,0.9984,-12.7556,0.0,233.8,84.0
7,load,345.0,0.9979,-13.3358,0.0,522.0,176.6
8,load,345.0,1.0383,-14.1784,0.0,6.5,-66.6
9,load,345.0,1.0178,-8.1709,0.0,0.0,0.0
10,load,345.0,1.0134,-8.937,0.0,0.0,0.0
11,load,345.0,1.0008,-8.9988,0.0,8.53,88.0
12,load,345.0,1.0149,-8.9299,0.0,0.0,0.0
13,load,345.0,1.0123,-10.7153,0.0,0.0,0.0
14,load,345.0,1.0162,-11.3454,0.0,320.0,153.0
15,load,345.0,1.0325,-10.0333,0.0,329.0,32.3
16,load,345.0,1.0342,-11.1164,0.0,0.0,0.0
17,load,345.0,1.0316,-11.9862,0.0,158.0,30.0
18,load,345.0,1.0501,-5.4101,0.0,0.0,0.0
19,load,345.0,0.991,-6.8212,0.0,680.0,103.0
20,load,345.0,1.0323,-7.6287,0.0,274.0,115.0
21,load,345.0,1.0501,-3.1831,0.0,0.0,0.0
22,load,345.0,1.0451,-3.3813,0.0,247.5,84.6
23,load,345.0,1.038,-9.9138,0.0,308.6,-92.2
24,load,345.0,1.0577,-8.3692,0.0,224.0,47.2
25,load,345.0,1.0526,-9.4388,0.0,139.0,17.0
26,load,345.0,1.0383,-11.3622,0.0,281.0,75.5
27,load,345.0,1.0504,-5.9284,0.0,206.0,27.6
28,load,345.0,1.0501,-3.1699,0.0,283.5,26.9
29,generator,345.0,1.0499,-7.3705,250.0,0.0,0.0
30,slack,345.0,0.982,0.0,0.0,9.2,4.6
31,generator,345.0,0.9841,-0.1884,650.0,0.0,0.0
32,generator,345.0,0.9972,-0.1932,632.0,0.0,0.0
33,generator,345.0,1.0123,-1.6311,508.0,0.0,0.0
34,generator,345.0,1.0494,1.7765,650.0,0.0,0.0
35,generator,345.0,1.0636,4.4684,560.0,0.0,0.0
36,generator,345.0,1.0275,-1.5829,540.0,0.0,0.0
37,generator,345.0,1.0265,3.8928,830.0,0.0,0.0
38,generator,345.0,1.03,-14.5353,1000.0,1104.0,250.0
