rank,name,type,topology,from_bus,to_bus,status,category,severity,v_min,v_min_bus,v_max,max_loading,max_loading_branch,max_abs_dv,max_abs_dv_bus,n_voltage,n_undervoltage,n_overvoltage,n_deviation,n_thermal,worst_deviation,n_islanded,islanded_load_mw,exclusion
1.0,T 18-19,trafo,structural bridge,18,19,ISLANDED,Critical,1000.0,,,,,,,,,,,,,,2.0,680.0,
2.0,L 15-18,line,structural bridge,15,18,ISLANDED,Critical,1000.0,,,,,,,,,,,,,,4.0,680.0,
3.0,L 20-21,line,meshed,20,21,VIOLATION,Critical,70.4,0.982,30.0,1.0636,157.5,L 22-23,0.0473,20.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,
4.0,L 12-13,line,meshed,12,13,VIOLATION,Warning,35.1,0.982,30.0,1.0636,132.5,L 5-10,0.0069,13.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
5.0,L 9-12,line,meshed,9,12,VIOLATION,Warning,20.0,0.982,30.0,1.0636,111.8,L 5-10,0.0137,12.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
6.0,L 22-23,line,meshed,22,23,VIOLATION,Warning,15.4,0.982,30.0,1.0636,111.3,L 15-20,0.0123,20.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,
7.0,L 5-10,line,meshed,5,10,VIOLATION,Warning,13.1,0.982,30.0,1.0636,106.0,L 3-13,0.0084,5.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,
8.0,L 15-20,line,meshed,15,20,VIOLATION,Warning,10.4,0.982,30.0,1.0636,110.4,L 22-23,0.011,23.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,
9.0,L 9-10,line,meshed,9,10,VIOLATION,Warning,7.4,0.982,30.0,1.0636,107.4,L 9-12,0.0158,10.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,
10.0,L 25-26,line,meshed,25,26,VIOLATION,Warning,6.3,0.982,30.0,1.074,106.3,L 1-2,0.038,26.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,
11.0,L 3-13,line,meshed,3,13,VIOLATION,Warning,3.3,0.982,30.0,1.0636,103.3,L 5-10,0.012,3.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,
