outage,branch,type,p_mw,rating,rating_unit,loading_percent,base_loading_percent,delta_from_base
L 3-13,L 5-10,line,-493.9,0.8033,kA,103.3,67.2,36.2
L 5-10,L 3-13,line,-528.16,0.8367,kA,106.0,53.7,52.3
L 5-10,L 9-12,line,617.4,1.0041,kA,101.8,53.2,48.5
L 5-10,L 12-13,line,639.88,1.0041,kA,105.3,52.1,53.2
L 9-10,L 9-12,line,650.0,1.0041,kA,107.4,53.2,54.1
L 9-12,L 5-10,line,-537.8,0.8033,kA,111.8,67.2,44.7
L 9-12,L 9-10,line,650.0,1.0041,kA,108.2,55.3,52.9
L 12-13,L 5-10,line,-637.02,0.8033,kA,132.5,67.2,65.4
L 12-13,L 9-10,line,617.44,1.0041,kA,102.6,55.3,47.3
L 15-20,L 22-23,line,685.59,1.0041,kA,110.4,56.4,53.9
L 20-21,L 15-23,line,-628.94,1.0041,kA,105.0,17.2,87.8
L 20-21,L 21-22,line,650.0,1.0041,kA,107.9,12.0,95.9
L 20-21,L 22-23,line,958.49,1.0041,kA,157.5,56.4,101.1
L 22-23,L 15-20,line,-675.94,1.0041,kA,111.3,53.5,57.8
L 22-23,L 20-21,line,-953.5,1.5061,kA,104.1,65.7,38.4
L 25-26,L 1-2,line,536.52,0.8367,kA,106.3,64.8,41.4
